"year","approval_date","brand_name","active_ingredient","application_number","application_type","analysis_category","chart_category","nme_type1_confirmed","sponsor_name","route","dosage_form","review_designation","accelerated_approval","breakthrough_therapy","fast_track","orphan_drug","abbreviated_indication","approved_use","indication","indication_source","pharm_class_moa","pharm_class_epc","match_score","match_reason","validation_status","fda_source_url","comments","sponsor_name_source","route_source"
"2016","2016-05-27","Ocaliva","obeticholic acid","NDA207999","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Intercept Pharmaceuticals","Oral","Tablet","Priority","Yes","No","Yes","Yes","","OCALIVA is indicated for the treatment of primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults with an inadequate response to UDCA, or as monotherapy in adults unable to tolerate UDCA._x000D_ This indication is approved under accelerated approval based on a reduction in alkaline phosphatase (ALP). An improvement in survival or disease-related symptoms has not been established. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","OCALIVA is indicated for the treatment of primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults with an inadequate response to UDCA, or as monotherapy in adults unable to tolerate UDCA._x000D_ This indication is approved under accelerated approval based on a reduction in alkaline phosphatase (ALP). An improvement in survival or disease-related symptoms has not been established. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Intercept Pharmaceuticals","Oral"
"2016","2016-05-27","Zinbryta","daclizumab","BLA761029","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Biogen","Injection","Injectable","Standard","No","No","No","No","","ZINBRYTA is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (MS). Because of its safety profile, the use of ZINBRYTA should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.","ZINBRYTA is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (MS). Because of its safety profile, the use of ZINBRYTA should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Biogen","Injection"
"2016","2016-06-01","Netspot","gallium Ga 68 dotatate","NDA208547","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Advanced Accelerator Applications","Intravenous","Powder","Priority","No","No","No","Yes","","NETSPOT, after radiolabeling with Ga 68, is indicated for use with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients.","NETSPOT, after radiolabeling with Ga 68, is indicated for use with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Advanced Accelerator Applications","Intravenous"
"2016","2016-06-28","Epclusa","sofosbuvir and velpatasvir","NDA208341","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Gilead Sciences","Oral","Tablet","Priority","No","Yes","Yes","No","","EPCLUSA is indicated for the treatment of adult patients with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection: - without cirrhosis or with compensated cirrhosis - with decompensated cirrhosis for use in combination with ribavirin","EPCLUSA is indicated for the treatment of adult patients with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection: - without cirrhosis or with compensated cirrhosis - with decompensated cirrhosis for use in combination with ribavirin","FDA compilation: Approved Use(s)","Breast Cancer Resistance Protein Inhibitors [MoA]; Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA]; Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA]; Organic Anion Transporting Polypeptide 2B1 Inhibitors [MoA]; P-Glycoprotein Inhibitors [MoA]; RNA Replicase Inhibitors [MoA]","Hepatitis C Virus NS5A Inhibitor [EPC]; Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Gilead Sciences","Oral"
"2016","2016-07-11","Xiidra","lifitegrast","NDA208073","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Shire Development","Ophthalmic","Solution/Drops","Priority","No","No","No","No","","Xiidra (lifitegrast ophthalmic solution) 5% is indicated for the treatment of the signs and symptoms of dry eye disease (DED).","Xiidra (lifitegrast ophthalmic solution) 5% is indicated for the treatment of the signs and symptoms of dry eye disease (DED).","FDA compilation: Approved Use(s)","Lymphocyte Function-Associated Antigen-1 Antagonists [MoA]","Lymphocyte Function-Associated Antigen-1 Antagonist [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Shire Development","Ophthalmic"
"2016","2016-07-27","Adlyxin","lixisenatide","BLA208471","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Sanofi","Subcutaneous","Solution","Standard","No","No","No","No","","ADLYXIN is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use: - ADLYXIN has not been studied in patients with chronic pancreatitis or a history of unexplained pancreatitis. Consider other antidiabetic therapies in patients with a history of pancreatitis. - ADLYXIN is not a substitute for insulin. ADLYXIN is not indicated for use in patients with type 1 diabetes mellitus or for treatment of diabetic ketoacidosis. - The concurrent use of ADLYXIN with short acting insulin has not been studied and is not recommended. - ADLYXIN has not been studied in patients with gastroparesis and is not recommended in patients with gastroparesis.","ADLYXIN is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use: - ADLYXIN has not been studied in patients with chronic pancreatitis or a history of unexplained pancreatitis. Consider other antidiabetic therapies in patients with a history of pancreatitis. - ADLYXIN is not a substitute for insulin. ADLYXIN is not indicated for use in patients with type 1 diabetes mellitus or for treatment of diabetic ketoacidosis. - The concurrent use of ADLYXIN with short acting insulin has not been studied and is not recommended. - ADLYXIN has not been studied in patients with gastroparesis and is not recommended in patients with gastroparesis.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.","Sanofi","Subcutaneous"
"2016","2016-09-19","Exondys 51","eteplirsen","NDA206488","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Sarepta Therapeutics","Intravenous","Solution","Priority","Yes","No","Yes","Yes","","EXONDYS 51 is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping. This indication is approved under accelerated approval based on an increase in dystrophin in skeletal muscle observed in some patients treated with EXONDYS 51. A clinical benefit of EXONDYS 51 has not been established. Continued approval for this indication may be contingent upon verification of a clinical benefit in confirmatory trials.","EXONDYS 51 is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping. This indication is approved under accelerated approval based on an increase in dystrophin in skeletal muscle observed in some patients treated with EXONDYS 51. A clinical benefit of EXONDYS 51 has not been established. Continued approval for this indication may be contingent upon verification of a clinical benefit in confirmatory trials.","FDA compilation: Approved Use(s)","","Antisense Oligonucleotide [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Sarepta Therapeutics","Intravenous"
"2016","2016-10-19","Lartruvo","olaratumab","BLA761038","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Eli Lilly","Injection","Injectable","Priority","Yes","Yes","Yes","Yes","","LARTRUVO is indicated, in combination with doxorubicin, for the treatment of adult patients with soft tissue sarcoma (STS) with a histologic subtype for which an anthracycline-containing regimen is appropriate and which is not amenable to curative treatment with radiotherapy or surgery. This indication is approved under accelerated approval. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trial.","LARTRUVO is indicated, in combination with doxorubicin, for the treatment of adult patients with soft tissue sarcoma (STS) with a histologic subtype for which an anthracycline-containing regimen is appropriate and which is not amenable to curative treatment with radiotherapy or surgery. This indication is approved under accelerated approval. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trial.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Eli Lilly","Injection"
"2016","2016-10-21","Zinplava","bezlotoxumab","BLA761046","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Merck","Injection","Injectable","Priority","No","No","Yes","No","","ZINPLAVA is indicated to reduce recurrence of Clostridium difficile infection (CDI) in patients 18 years of age or older who are receiving antibacterial drug treatment of CDI and are at a high risk for CDI recurrence. Limitation of Use: ZINPLAVA is not indicated for the treatment of CDI. ZINPLAVA is not an antibacterial drug. ZINPLAVA should only be used in conjunction with antibacterial drug treatment of CDI.","ZINPLAVA is indicated to reduce recurrence of Clostridium difficile infection (CDI) in patients 18 years of age or older who are receiving antibacterial drug treatment of CDI and are at a high risk for CDI recurrence. Limitation of Use: ZINPLAVA is not indicated for the treatment of CDI. ZINPLAVA is not an antibacterial drug. ZINPLAVA should only be used in conjunction with antibacterial drug treatment of CDI.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Merck","Injection"
"2016","2016-12-14","Eucrisa","crisaborole","NDA207695","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Anacor Pharmacueticals","Topical","Ointment","Standard","No","No","No","No","","EUCRISA is indicated for topical treatment of mild to moderate atopic dermatitis in patients 2 years of age and older.","EUCRISA is indicated for topical treatment of mild to moderate atopic dermatitis in patients 2 years of age and older.","FDA compilation: Approved Use(s)","Phosphodiesterase 4 Inhibitors [MoA]","Phosphodiesterase 4 Inhibitor [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Anacor Pharmacueticals","Topical"
"2016","2016-12-19","Rubraca","rucaparib","NDA209115","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Clovis Oncology","Oral","Tablet","Priority","Yes","Yes","No","Yes","","Rubraca is indicated as monotherapy for the treatment of patients with deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer who have been treated with two or more chemotherapies. Select patients for therapy based on an FDA-approved companion diagnostic for Rubraca. This indication is approved under accelerated approval based on objective response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","Rubraca is indicated as monotherapy for the treatment of patients with deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer who have been treated with two or more chemotherapies. Select patients for therapy based on an FDA-approved companion diagnostic for Rubraca. This indication is approved under accelerated approval based on objective response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Clovis Oncology","Oral"
"2016","2016-12-23","Spinraza","nusinersen","NDA209531","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Biogen","Intrathecal","Solution","Priority","No","No","Yes","Yes","","SPINRAZA is indicated for the treatment of spinal muscular atrophy (SMA) in pediatric and adult patients.","SPINRAZA is indicated for the treatment of spinal muscular atrophy (SMA) in pediatric and adult patients.","FDA compilation: Approved Use(s)","","Antisense Oligonucleotide [EPC]; Survival Motor Neuron-2-directed RNA Interaction [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Biogen","Intrathecal"
"2017","2017-01-19","Trulance","plecanatide","NDA208745","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Synergy Pharmaceuticals","Oral","Tablet","Standard","No","No","No","No","","TRULANCE is indicated in adults for the treatment of chronic idiopathic constipation (CIC).","TRULANCE is indicated in adults for the treatment of chronic idiopathic constipation (CIC).","FDA compilation: Approved Use(s)","Guanylate Cyclase Activators [MoA]","Guanylate Cyclase-C Agonist [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Synergy Pharmaceuticals","Oral"
"2017","2017-02-07","Parsabiv","etelcalcetide","NDA208325","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Amgen","Intravenous","Solution","Standard","No","No","No","No","","PARSABIV is indicated for the treatment of secondary hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on hemodialysis. Limitations of Use: PARSABIV has not been studied in adult patients with parathyroid carcinoma, primary hyperparathyroidism, or with chronic kidney disease who are not on hemodialysis and is not recommended for use in these populations.","PARSABIV is indicated for the treatment of secondary hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on hemodialysis. Limitations of Use: PARSABIV has not been studied in adult patients with parathyroid carcinoma, primary hyperparathyroidism, or with chronic kidney disease who are not on hemodialysis and is not recommended for use in these populations.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Amgen","Intravenous"
"2017","2017-02-09","Emflaza","deflazacort","NDA208684","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Marathon Pharmaceuticals","Oral","Tablet","Priority","No","No","Yes","Yes","","EMFLAZA is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients 5 years of age and older.","EMFLAZA is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients 5 years of age and older.","FDA compilation: Approved Use(s)","Corticosteroid Hormone Receptor Agonists [MoA]","Corticosteroid [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Marathon Pharmaceuticals","Oral"
"2017","2017-02-15","Siliq","brodalumab","BLA761032","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Valeant Pharmaceuticals","Injection","Injectable","Standard","No","No","No","No","","SILIQ is indicated for the treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy or phototherapy and have failed to respond or have lost response to other systemic therapies.","SILIQ is indicated for the treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy or phototherapy and have failed to respond or have lost response to other systemic therapies.","FDA compilation: Approved Use(s)","Interleukin 17 Receptor A Antagonists [MoA]","Interleukin-17 Receptor A Antagonist [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Valeant Pharmaceuticals","Injection"
"2017","2017-02-28","Xermelo","telotristat ethyl","NDA208794","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Lexicon Pharmaceuticals","Oral","Tablet","Priority","No","No","Yes","Yes","","Xermelo is indicated for the treatment of carcinoid syndrome diarrhea in combination with somatostatin analog (SSA) therapy in adults inadequately controlled by SSA therapy.","Xermelo is indicated for the treatment of carcinoid syndrome diarrhea in combination with somatostatin analog (SSA) therapy in adults inadequately controlled by SSA therapy.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Lexicon Pharmaceuticals","Oral"
